78593	14029
78593	26686
78591	70599
78590	73259
78579	4449
78575	4914
78569	52967
78568	6461
78566	16283
78560	61007
78557	39393
78557	48616
78553	68910
78547	1218
78547	12218
78547	74037
78539	2885
78539	3663
78539	5050
78539	7463
78539	45900
78539	53876
78539	55994
78539	60838
78539	63305
78539	63714
78539	66838
78539	69571
78536	42025
78535	18900
78529	5262
78529	34009
78529	63432
78526	18900
78521	67354
78520	38439
78517	3635
78514	1434
78510	21481
78510	57988
78500	20214
78500	47133
78496	1236
78496	24180
78496	65341
78493	14835
78493	31327
78493	62666
78493	72841
78492	57466
78483	3918
78483	10317
78483	28686
78483	30786
78483	57389
78482	51802
78480	74592
78474	35960
78470	8065
78470	44706
78467	70721
78467	77848
78465	65642
78463	1236
78463	27092
78462	23515
78460	50708
78458	12656
78457	9410
78457	72804
78446	18996
78444	20231
78444	20623
78439	19414
78433	734
78433	36585
78433	55102
78431	65127
78430	934
78430	9064
78430	26626
78430	50703
78429	55468
78428	18718
78423	77947
78411	39903
78409	9482
78404	10724
78401	23280
78401	23929
78397	18900
78397	49133
78397	57396
78397	74592
78393	58778
78392	13904
78391	18900
78390	19183
78389	67326
78375	60238
78374	27952
78374	44531
78373	60361
78371	8354
78368	3584
78354	14486
78353	8048
78353	18730
78353	21555
78353	24586
78353	32541
78353	40339
78353	43969
78353	54059
78353	66690
78350	9553
78348	30008
78348	63728
78341	20016
78338	15141
78337	6324
78337	23911
78337	44194
78337	64889
78333	19109
78331	54079
78331	63946
78330	20240
78325	27582
78325	36892
78325	66321
78324	34213
78324	73111
78324	75921
78319	23515
78315	706
78314	33639
78313	76197
78310	7026
78309	877
78307	19265
78303	1120
78301	66532
78300	9227
78293	60238
78291	40635
78291	72965
78287	75299
78285	1236
78285	9513
78285	36074
78285	39988
78282	5054
78282	17509
78281	19235
78281	25559
78281	31210
78278	1526
78278	31327
78270	2346
78270	17724
78270	20518
78270	64053
78267	8159
78267	54079
78264	58539
78262	12221
78250	76523
78249	1661
78245	1602
78243	37157
78240	35524
78239	40429
78232	54117
78226	23577
78222	37010
78222	72480
78214	30008
78214	34307
78209	35524
78205	70017
78202	20126
78194	11851
78194	13840
78194	20357
78194	27987
78194	50903
78194	55843
78194	61555
78194	68225
78194	73723
78194	76803
78192	14959
78191	3918
78191	73218
78191	77154
78188	36029
78179	18900
78179	63797
78176	16015
78176	68365
78175	863
78175	37259
78175	77334
78174	3596
78174	25936
78166	23428
78164	30728
78161	23515
78160	57656
78159	33523
78159	68500
78157	58742
78156	15662
78156	18852
78155	10514
78155	75706
78153	45596
78150	71503
78148	56539
78142	70302
78137	50131
78136	50336
78136	54059
78133	48812
78132	10317
78125	32920
78117	7203
78116	20596
78115	58679
78108	73004
78108	73172
78106	10489
78105	68170
78102	67168
78099	15779
78099	25667
78099	30406
78099	37731
78099	59185
78098	52191
78096	43810
78095	5185
78092	18004
78092	62056
78091	430
78084	24673
78076	51932
78070	8909
78069	4041
78069	6273
78069	10070
78069	18574
78069	36468
78069	78067
78067	78069
78064	50901
78062	37259
78059	60295
78051	9125
78047	71288
78042	13871
78040	702
78040	75342
78036	25768
78032	18730
78032	32011
78032	63966
78032	72803
78029	672
78028	11398
78023	9625
78015	36689
78014	36991
78010	8956
78008	1410
78008	28920
78008	29959
78008	31499
78008	40816
78008	42281
78008	70540
78007	77938
78003	60047
78002	2331
77995	45410
77995	55758
77987	23666
77987	45728
77986	1033
77986	2164
77986	3198
77986	5096
77986	5105
77986	5137
77986	5436
77986	10484
77986	10927
77986	14192
77986	14274
77986	15586
77986	20460
77986	21216
77986	26542
77986	30072
77986	42306
77986	42688
77986	57988
77986	65059
77986	69334
77986	72156
77985	1939
77985	46057
77985	54066
77977	57110
77974	16947
77967	68995
77966	2439
77966	37023
77966	40824
77962	55460
77958	60051
77956	20460
77947	6723
77947	11402
77947	20459
77947	21406
77947	27048
77947	36603
77947	41204
77947	44714
77947	49094
77947	54427
77947	60948
77947	63080
77947	64849
77947	72365
77947	78423
77945	39271
77945	57389
77943	1272
77940	22711
77940	56834
77938	78007
77937	28981
77936	2893
77934	6063
77934	16812
77934	28918
77932	10237
77932	11034
77932	73839
77928	39880
77927	61055
77926	29052
77922	63698
77919	1396
77919	4219
77919	5659
77919	11076
77919	17940
77919	18397
77919	19068
77919	19972
77919	21299
77919	21926
77919	29391
77919	30292
77919	31357
77919	32722
77919	37406
77919	40653
77919	44907
77919	46450
77919	46898
77919	48167
77919	48358
77919	58468
77919	70272
77919	73747
77918	56756
77917	24643
77915	76710
77914	13879
77907	4241
77903	21531
77903	44786
77900	70759
77897	3292
77896	15003
77887	15284
77887	16904
77884	17128
77882	11094
77878	74592
77877	35322
77874	32850
77874	34462
77872	50022
77869	20198
77869	67131
77868	14509
77868	59033
77861	72854
77857	8065
77855	16904
77854	3619
77850	19543
77850	20439
77850	20807
77850	21369
77850	24359
77850	25170
77850	67728
77848	78467
77840	57833
77838	60172
77832	58979
77830	61810
77828	75658
77816	72380
77816	74159
77814	12550
77814	52891
77809	24413
77803	10317
77801	15837
77801	64833
77800	67791
77798	8030
77797	75134
77794	73020
77793	39277
77793	45029
77793	45916
77789	28627
77785	23466
77784	67746
77780	6659
77779	16744
77777	19601
77774	18762
77774	59721
77771	6036
77771	66714
77770	29246
77770	50022
77770	62394
77769	66328
77760	57886
77757	57767
77756	42296
77754	28143
77754	54066
77754	56893
77754	66714
77753	7923
77743	5662
77743	9664
77743	13873
77743	32236
77743	36086
77743	44114
77743	48673
77743	51093
77743	62117
77743	69078
77743	69390
77743	69823
77743	71518
77743	71538
77743	76355
77740	8201
77738	1113
77738	53477
77738	59937
77737	15698
77736	16615
77735	74340
77733	23756
77733	56524
77733	57379
77724	15997
77724	17441
77724	27092
77724	30696
77724	35525
77723	58256
77719	24104
77719	55177
77719	65816
77719	72949
77718	14392
77718	32326
77718	32764
77716	5110
77716	46042
77708	39202
77708	70236
77707	7050
77707	20446
77707	42418
77703	21847
77701	32864
77701	48256
77701	64996
77701	65159
77696	74213
77694	57154
77689	6579
77687	39585
77683	37259
77681	72649
77675	50084
77673	75793
77668	36150
77662	58778
77658	9386
77658	14738
77658	49890
77658	61778
77658	69073
77657	1143
77657	37179
77657	44706
77657	52805
77657	64988
77647	68719
77644	45029
77644	70709
77639	41612
77638	42037
77638	49810
77638	56210
77638	74581
77638	77432
77636	8169
77636	11813
77636	22784
77635	59205
77631	50340
77626	8075
77625	46963
77618	59145
77617	11483
77616	51980
77616	52479
77614	5414
77609	10877
77609	15693
77609	23296
77609	27359
77605	16947
77605	77108
77603	28001
77601	8072
77592	37259
77586	72086
77583	22967
77583	55483
77582	57767
77578	10237
77576	67829
77575	9553
77572	31327
77567	20496
77566	25798
77566	55057
77561	11301
77556	9353
77556	22605
77556	34817
77556	51349
77556	63736
77553	39796
77553	44706
77550	39116
77549	3724
77546	4876
77544	8904
77544	53498
77543	34909
77543	71811
77534	71491
77533	16338
77531	64519
77530	76287
77525	59754
77522	19360
77514	9888
77514	18092
77514	19284
77514	27005
77514	27071
77514	35405
77514	52064
77509	34795
77507	28585
77507	40296
77506	76197
77504	1894
77504	25469
77504	43806
77504	52789
77504	63230
77503	75538
77492	28062
77492	57930
77492	59095
77490	26498
77490	66014
77486	23889
77486	35096
77486	68228
77486	68554
77479	9193
77479	46801
77479	47513
